Type,Trans Date,Post Date,Description,Amount,Kind
Sale,2016-12-04,2016-12-04,AmazonPrime Membership,-11.98,Goods
Sale,2016-12-04,2016-12-05,PAYPAL *BESTBUY COM,-217.98,Goods
Sale,2016-12-04,2016-12-05,99 RANCH #1769,-36.56,Groceries
Sale,2016-12-03,2016-12-05,YUMMY SZECHUAN,-51.01,Foods
Sale,2016-12-02,2016-12-04,SFMTA ELLIS &amp; O'FARRELL,-6.0,Auto
Payment,2016-12-01,2016-12-01,Payment Thank You - Web,1000.0,Payment
Sale,2016-12-01,2016-12-02,WWW.NEWEGG.COM,-85.99,Goods
Sale,2016-11-30,2016-12-01,WWW.NEWEGG.COM,-59.11,Goods
Sale,2016-11-30,2016-12-01,KAISER 02090311,-10.0,Medical
Sale,2016-11-30,2016-12-02,WALGREENS #6655,-22.8,Groceries
Sale,2016-11-29,2016-12-01,STARBUCKS STORE 06677,-5.0,Coffee
Sale,2016-11-29,2016-11-30,PAYPAL *HARMANAUDIO,-21.6,Goods
Sale,2016-11-29,2016-12-01,STARBUCKS STORE 06677,-20.0,Coffee
Sale,2016-11-29,2016-11-30,ORDER.WISH.COM,-1.0,Goods
Sale,2016-11-28,2016-11-30,KUKJE SUPER MARKET,-34.2,Groceries
Sale,2016-11-28,2016-11-29,KAISER 02090311,-10.0,Medical
Sale,2016-11-28,2016-11-30,SAFEWAY STORE 00015479,-32.71,Groceries
Sale,2016-11-28,2016-11-30,SAFEWAY STORE 00015479,-4.89,Groceries
Sale,2016-11-28,2016-11-29,LIVING SPACES,-529.55,Furniture
Sale,2016-11-28,2016-11-30,YELPINC*EAT24 BONCHON,-34.91,Foods
Sale,2016-11-27,2016-11-28,AMAZON MKTPLACE PMTS,-83.39,Goods
Sale,2016-11-27,2016-11-28,Amazon.com,-86.11,Goods
Sale,2016-11-27,2016-11-27,AMAZON MKTPLACE PMTS,-32.69,Goods
Sale,2016-11-26,2016-11-27,AMAZON MKTPLACE PMTS,-21.37,Goods
Sale,2016-11-26,2016-11-27,AMAZON MKTPLACE PMTS,-34.95,Goods
Sale,2016-11-26,2016-11-27,GEICO  *AUTO,-49.17,Auto
Sale,2016-11-25,2016-11-27,A&amp;A GAS,-25.75,Auto
Sale,2016-11-25,2016-11-27,IKEA EAST PALO ALTO,-365.78,Furniture
Return,2016-11-25,2016-11-27,IKEA EAST PALO ALTO,14.88,Furniture
Sale,2016-11-25,2016-11-27,IKEA EAST PALO ALTO,-14.87,Furniture
Sale,2016-11-24,2016-11-27,KUKJE SUPER MARKET,-24.53,Groceries
Sale,2016-11-24,2016-11-27,STARBUCKS STORE 05934,-2.45,Coffee
Sale,2016-11-24,2016-11-25,99 RANCH #1782,-60.3,Groceries
